DWD classification (ftp structure),,,,,temporal,attribute group,attribute,attribute-comment,aggregation,spatial-aggregation,spatial,unit,temporal-start,temporal-end,prediction,format,compressed,machine-readable,url,url-comment,recent & historical,now,comment
climate_environment,REA,COSMO_REA6,,,hourly,wind,wind direction,WD_080: 80m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,hourly,wind,wind direction,WD_100: 100m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,hourly,wind,wind direction,WD_125: 125m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,hourly,wind,wind direction,WD_150: 150m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,hourly,wind,wind direction,WD_175: 175m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,hourly,wind,wind direction,WD_200: 200m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,hourly,wind,wind speed,WS_010: 10m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,hourly,wind,wind speed,WS_040: 40m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,hourly,wind,wind speed,WS_060: 60m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,hourly,wind,wind speed,WS_080: 80m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,hourly,wind,wind speed,WS_100: 100m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,hourly,wind,wind speed,WS_125: 125m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,hourly,wind,wind speed,WS_150: 150m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,hourly,wind,wind speed,WS_175: 175m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,hourly,wind,wind speed,WS_200: 200m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,radiation,radiation,ALWU_S: long wave upward radiation flux at surface,mean,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,TODO: Refine
climate_environment,REA,COSMO_REA6,,,daily,radiation,radiation,ASOB_S: net short wave radiation flux at the surface,mean,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,TODO: Refine
climate_environment,REA,COSMO_REA6,,,daily,radiation,radiation,ASWDIFD_S: short wave diffuse downward radiation flux at the surface,mean,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,TODO: Refine
climate_environment,REA,COSMO_REA6,,,daily,radiation,radiation,ASWDIR_S: short wave direct radiation flux at the surface,mean,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,radiation,radiation,ATHB_S: net long wave radiation flux at the surface,mean,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,radiation,radiation,ATHD_S: long wave downward radiation flux at the surface,mean,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,clouds,cloud cover,CLCT: total cloud cover,,,"Grid, Germany",%,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,sunshine,sunshine duration,DURSUN: sunshine duration,sum,,"Grid, Germany",s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,unknown,height,H_PBL: height of the planetary boundary layer,,,"Grid, Germany",m,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,radiation,radiation,LWU_S: long wave upward radiation flux at the surface,,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,pressure,pressure,PMSL: pressure at mean sea level,,,"Grid, Germany",Pa,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,pressure,pressure,PS: not reduced surface pressure,,,"Grid, Germany",Pa,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,moisture air,humidity,QV_2M: 2m specific humidity,,,"Grid, Germany",kg/kg,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,moisture air,humidity,QV_S: Specific humidity at the surface,,,"Grid, Germany",kg/kg,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,precipitation,precipitation,RAIN_CON: convective rain,sum,,"Grid, Germany",kg/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,precipitation,precipitation,RAIN_GSP: stratiform rain,sum,,"Grid, Germany",kg/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,runoff,runoff,RUNOFF_G: ground runoff,sum,,"Grid, Germany",kg/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,runoff,runoff,RUNOFF_S: surface runoff,sum,,"Grid, Germany",kg/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,moisture air,humidity,RELHUM_2M: 2m relative humidity,,,"Grid, Germany",%,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,snow,snow,SNOW_CON: convective snow,sum,,"Grid, Germany",kg/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,snow,snow,SNOW_GSP: stratiform snow,sum,,"Grid, Germany",kg/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,radiation,radiation,SOBS_RAD: net short wave radiation flux at the surface,,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,radiation,radiation,SWDIFDS_RAD: short wave diffuse downward radiation flux at the surface,,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,radiation,radiation,SWDIRS_RAD: short wave direct radiation flux at the surface,,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,radiation,radiation,THBS_RAD: net long wave radiation flux at the surface,,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,radiation,radiation,THDS_RAD: downward long wave radiation flux at the surface,,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,temperature air,air temperature,TMAX_2M: 2m maximum temperature,time interval,,"Grid, Germany",K,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,temperature air,air temperature,TMIN_2M: 2m minimum temperature,"min, time interval",,"Grid, Germany",K,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,precipitation,precipitation,TOT_PRECIP: total precipitation,sum,,"Grid, Germany",kg/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,evaporation,vapour,TQV: vertical integrated water vapour,,,"Grid, Germany",kg/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,temperature air,air temperature,T_2M: 2m temperature,,,"Grid, Germany",K,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,temperature air,soil temperature,T_SOIL: soil temperature,,,"Grid, Germany",K,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,wind,wind speed,U_10M: 10m zonal wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,wind,wind speed,VMAX_10M: 10m maximum wind speed,time interval,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,wind,wind speed,V_10M: 10m meridional wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,wind,wind direction,WD_040: 40m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,wind,wind direction,WD_060: 60m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,wind,wind direction,WD_080: 80m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,wind,wind direction,WD_100: 100m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,wind,wind direction,WD_125: 125m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,wind,wind direction,WD_150: 150m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,wind,wind direction,WD_175: 175m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,wind,wind direction,WD_200: 200m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,wind,wind speed,WS_010: 10m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,wind,wind speed,WS_040: 40m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,wind,wind speed,WS_060: 60m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,wind,wind speed,WS_080: 80m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,wind,wind speed,WS_100: 100m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,wind,wind speed,WS_125: 125m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,wind,wind speed,WS_150: 150m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,wind,wind speed,WS_175: 175m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,daily,wind,wind speed,WS_200: 200m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,radiation,radiation,ALWU_S: long wave upward radiation flux at surface,mean,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,TODO: Refine
climate_environment,REA,COSMO_REA6,,,monthly,radiation,radiation,ASOB_S: net short wave radiation flux at the surface,mean,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,TODO: Refine
climate_environment,REA,COSMO_REA6,,,monthly,radiation,radiation,ASWDIFD_S: short wave diffuse downward radiation flux at the surface,mean,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,TODO: Refine
climate_environment,REA,COSMO_REA6,,,monthly,radiation,radiation,ASWDIR_S: short wave direct radiation flux at the surface,mean,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,radiation,radiation,ATHB_S: net long wave radiation flux at the surface,mean,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,radiation,radiation,ATHD_S: long wave downward radiation flux at the surface,mean,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,clouds,cloud cover,CLCT: total cloud cover,,,"Grid, Germany",%,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,sunshine,sunshine duration,DURSUN: sunshine duration,sum,,"Grid, Germany",s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,unknown,height,H_PBL: height of the planetary boundary layer,,,"Grid, Germany",m,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,radiation,radiation,LWU_S: long wave upward radiation flux at the surface,,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,pressure,pressure,PMSL: pressure at mean sea level,,,"Grid, Germany",Pa,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,pressure,pressure,PS: not reduced surface pressure,,,"Grid, Germany",Pa,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,moisture air,humidity,QV_2M: 2m specific humidity,,,"Grid, Germany",kg/kg,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,moisture air,humidity,QV_S: Specific humidity at the surface,,,"Grid, Germany",kg/kg,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,precipitation,precipitation,RAIN_CON: convective rain,sum,,"Grid, Germany",kg/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,precipitation,precipitation,RAIN_GSP: stratiform rain,sum,,"Grid, Germany",kg/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,runoff,runoff,RUNOFF_G: ground runoff,sum,,"Grid, Germany",kg/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,runoff,runoff,RUNOFF_S: surface runoff,sum,,"Grid, Germany",kg/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,moisture air,humidity,RELHUM_2M: 2m relative humidity,,,"Grid, Germany",%,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,snow,snow,SNOW_CON: convective snow,sum,,"Grid, Germany",kg/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,snow,snow,SNOW_GSP: stratiform snow,sum,,"Grid, Germany",kg/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,radiation,radiation,SOBS_RAD: net short wave radiation flux at the surface,,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,radiation,radiation,SWDIFDS_RAD: short wave diffuse downward radiation flux at the surface,,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,radiation,radiation,SWDIRS_RAD: short wave direct radiation flux at the surface,,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,radiation,radiation,THBS_RAD: net long wave radiation flux at the surface,,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,radiation,radiation,THDS_RAD: downward long wave radiation flux at the surface,,,"Grid, Germany",W/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,temperature air,air temperature,TMAX_2M: 2m maximum temperature,time interval,,"Grid, Germany",K,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,temperature air,air temperature,TMIN_2M: 2m minimum temperature,"min, time interval",,"Grid, Germany",K,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,precipitation,precipitation,TOT_PRECIP: total precipitation,sum,,"Grid, Germany",kg/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,evaporation,vapour,TQV: vertical integrated water vapour,,,"Grid, Germany",kg/m^2,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,temperature air,air temperature,T_2M: 2m temperature,,,"Grid, Germany",K,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,temperature air,soil temperature,T_SOIL: soil temperature,,,"Grid, Germany",K,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,wind,wind speed,U_10M: 10m zonal wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,wind,wind speed,VMAX_10M: 10m maximum wind speed,time interval,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,wind,wind speed,V_10M: 10m meridional wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,wind,wind direction,WD_040: 40m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,wind,wind direction,WD_060: 60m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,wind,wind direction,WD_080: 80m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,wind,wind direction,WD_100: 100m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,wind,wind direction,WD_125: 125m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,wind,wind direction,WD_150: 150m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,wind,wind direction,WD_175: 175m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,wind,wind direction,WD_200: 200m wind direction,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,wind,wind speed,WS_010: 10m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,wind,wind speed,WS_040: 40m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,wind,wind speed,WS_060: 60m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,wind,wind speed,WS_080: 80m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,wind,wind speed,WS_100: 100m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,wind,wind speed,WS_125: 125m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,wind,wind speed,WS_150: 150m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,wind,wind speed,WS_175: 175m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
climate_environment,REA,COSMO_REA6,,,monthly,wind,wind speed,WS_200: 200m wind speed,,,"Grid, Germany",m/s,1995,2020,,collection,TRUE,TRUE,,,,,
weather,wmc,,,,daily,collection,collection,,,,"Grid, Germany",,last 3 days,,,grib,,TRUE,,,,,
weather,radiation,sid,,,15-minutes,radiation,radiation,,,,"Grid, Germany",,last 2 days,,,nc,,TRUE,,,,,
weather,mos,MOSMIX_S/MOSMIX_L,,,hourly,collection,collection,,,,Station,,last 3 days,,,kml,TRUE,TRUE,,,,,
weather,radar,,,,,,,,,,,,,,,,,,,,,,
,nwp,icon,"evaporation,vegetation,snow,moisture air/soil,clouds,precipitation,temperature soil/air,wind,radiation,",,,,,,,,,,,,,,,,,,,,
,,icon-eu,,,,,,,,,,,,,,,,,,,,,
,,cosmo-d2,"snow, precipitation, moisture soil, temperature soil/air, pressure, wind, ozon, vegetation, radiation",,,,,,,,,,,,,,,,,,,,
,,comso-d2-eps,,,,,,,,,,,,,,,,,,,,,
,satellite,,radiation,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,radar,precipitation,,,,,,,,,,,,,,,,,,,,,
,,snow,,,,,,,,,,,,,,,,,,,,,
,,moisture air,,,,,,,,,,,,,,,,,,,,,